pickup_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount,tolls_amount
6/1/2016 12:00,1,2.599999905,-73.97073364,40.76431656,-73.99150085,40.73914337,18.5,3.849999905,0
6/1/2016 12:00,1,1.120000005,-73.98036194,40.76031113,-73.9928894,40.76860046,8,0,0
6/1/2016 12:00,5,1.129999995,-73.97426605,40.79148102,-73.98020172,40.77796555,9,1.960000038,0
6/1/2016 12:00,1,10.10000038,-73.86305237,40.76956177,-73.98918152,40.73421097,34.5,12.25,5.539999962
6/1/2016 12:00,1,1.899999976,-73.95476532,40.78948975,-73.96998596,40.76545334,16.5,3.460000038,0
6/1/2016 12:00,1,0.300000012,-73.97369385,40.75163651,-73.97040558,40.75404358,4,0,0
6/1/2016 12:00,1,2.099999905,-73.96251678,40.77735138,-73.97640991,40.75085449,17.5,0,0
6/1/2016 12:00,1,1.879999995,-73.97640228,40.78860855,-73.98168182,40.76298904,12.5,2.660000086,0
6/1/2016 12:00,1,2.619999886,-73.94289398,40.75358582,0,0,12.5,2,0
6/1/2016 12:00,1,1.409999967,-73.96630096,40.76200104,-73.95191956,40.78174973,6.5,0,0
6/1/2016 12:00,3,3.75999999,-73.97879791,40.78340149,-73.94901276,40.80924606,14,0,5.539999962
6/1/2016 12:00,1,3.779999971,-73.98358917,40.76039124,-74.00377655,40.72990036,20.5,4.260000229,0
6/1/2016 12:00,1,0.5,-73.98187256,40.74090958,-73.97651672,40.74821091,7.5,1.649999976,0
6/1/2016 12:00,1,8.5,-73.98363495,40.75016022,-73.87110138,40.77177811,26.5,6.159999847,5.539999962
6/1/2016 12:00,1,8.300000191,-73.9899292,40.75636673,-73.93755341,40.84499359,26,5.349999905,0
6/1/2016 12:00,1,1.299999952,-73.95988464,40.77095413,-73.97267914,40.78242874,7.5,2.049999952,0
6/1/2016 12:00,1,5.800000191,-73.978302,40.75223923,-74.01419067,40.70438766,20,0,0
6/1/2016 12:00,1,3.160000086,-73.96066284,40.77558136,-73.95905304,40.80942154,15,2,0
6/1/2016 12:00,2,0.879999995,-73.97866058,40.78572845,-73.97731018,40.77676773,7,0,0
6/1/2016 12:00,3,0,-73.98635101,40.72206879,-73.98547363,40.72335052,2.5,0,0
6/1/2016 12:00,1,1.399999976,-73.978508,40.7583046,-73.96742249,40.77256393,7.5,2.049999952,0
6/1/2016 12:00,1,2.099999905,-73.97833252,40.75241089,-74.00326538,40.73918152,14,0,0
6/1/2016 12:00,1,1,-73.98628235,40.76051712,-73.98210907,40.77069855,7,1.5,0
6/1/2016 12:00,1,1.100000024,-73.98340607,40.73857117,-73.99225616,40.74917603,9.5,0,0
6/1/2016 12:00,1,1.200000048,-73.97869873,40.78755569,-73.96775055,40.7926178,8,0,0
6/1/2016 12:00,1,2.190000057,-73.99822998,40.72621918,-74.00286865,40.74956131,10.5,2.25999999,0
6/1/2016 12:00,1,0.150000006,-73.9990387,40.74440384,-73.99777222,40.74629593,3,0,0
6/1/2016 12:00,1,21.20000076,-73.78358459,40.64858627,-73.98833466,40.7199707,52,0,0
6/1/2016 12:00,1,3.900000095,-73.99367523,40.74983978,-73.95545197,40.78240967,22.5,0,0
6/1/2016 12:00,2,4.489999771,-74.00634766,40.70610046,-73.97966766,40.74641037,19,2.970000029,0
6/1/2016 12:00,1,0.439999998,-73.98966217,40.73426056,-73.98155975,40.73091888,5,0,0
6/1/2016 12:00,6,3.390000105,-73.98084259,40.76964188,-73.9631958,40.80912018,16,0,0
6/1/2016 12:00,6,0.639999986,-73.96102905,40.76102066,-73.95530701,40.77008057,5,1.159999967,0
6/1/2016 12:00,1,2.200000048,-73.97789001,40.77878571,-73.99130249,40.75024033,16,3.349999905,0
6/1/2016 12:00,1,0.699999988,-73.97737122,40.75211716,-73.97315216,40.74850464,6,0,0
6/1/2016 12:00,2,1.879999995,-73.97940826,40.78487778,-73.98680115,40.76138306,12.5,0,0
6/1/2016 12:00,3,3.49000001,-73.95465851,40.78966904,-73.9657135,40.75281143,15.5,2,0
6/1/2016 12:00,1,0.980000019,-73.95332336,40.77584839,-73.95516968,40.76515961,7,1.559999943,0
6/1/2016 12:00,1,1.600000024,-73.98232269,40.77823639,-73.98954773,40.75883865,12.5,2,0
6/1/2016 12:00,1,1.799999952,-73.9862442,40.75750351,-73.96416473,40.76459885,12.5,0,0
6/1/2016 12:00,1,4.199999809,-73.98996735,40.71970749,-73.97284698,40.75895691,20,4.150000095,0
6/1/2016 12:00,5,1.25999999,-73.96111298,40.77490997,-73.97411346,40.76279068,11.5,0,0
6/1/2016 12:00,5,1.230000019,-73.96450806,40.75606918,-73.9525528,40.76968002,8.5,2.319999933,0
6/1/2016 12:00,5,0.460000008,-73.98776245,40.74559784,-73.98747253,40.75048828,7,1.559999943,0
6/1/2016 12:00,2,0.5,-74.01553345,40.7112999,-74.01791382,40.70504379,5,1,0
6/1/2016 12:00,1,5.599999905,-73.97317505,40.76394653,-74.0139389,40.71397781,23.5,0,0
6/1/2016 12:00,1,3.700000048,-74.01370239,40.71384048,-73.99147797,40.75001144,24.5,0,0
